Date,Calories
2018-01-01,1502
2018-01-02,1911
2018-01-03,1547
2018-01-04,1641
2018-01-05,1648
2018-01-06,1488
2018-01-07,1489
2018-01-08,1490
2018-01-09,1490
2018-01-10,1490
2018-01-11,1491
2018-01-12,1491
2018-01-13,1491
2018-01-14,1492
2018-01-15,1488
2018-01-16,1487
2018-01-17,1486
2018-01-18,1486
2018-01-19,1485
2018-01-20,1485
2018-01-21,1485
2018-01-22,1485
2018-01-23,1485
2018-01-24,1485
2018-01-25,1485
2018-01-26,1485
2018-01-27,1485
2018-01-28,1485
2018-01-29,1485
2018-01-30,2041
2018-01-31,2354
2018-02-01,1812
2018-02-02,2119
2018-02-03,1981
2018-02-04,1856
2018-02-05,2088
2018-02-06,2344
2018-02-07,2273
2018-02-08,1998
2018-02-09,2084
2018-02-10,2129
2018-02-11,1890
2018-02-12,2383
2018-02-13,2078
2018-02-14,2721
2018-02-15,2110
2018-02-16,2050
2018-02-17,1951
2018-02-18,1928
2018-02-19,2403
2018-02-20,2198
2018-02-21,2415
2018-02-22,1996
2018-02-23,2246
2018-02-24,1808
2018-02-25,1864
2018-02-26,2678
2018-02-27,1744
2018-02-28,2528
2018-03-01,2336
2018-03-02,2367
2018-03-03,2069
2018-03-04,2203
2018-03-05,2098
2018-03-06,2073
2018-03-07,1929
2018-03-08,1921
2018-03-09,1504
2018-03-10,1505
2018-03-11,1505
2018-03-12,2371
2018-03-13,2238
2018-03-14,2453
2018-03-15,2187
2018-03-16,2089
2018-03-17,1754
2018-03-18,1935
2018-03-19,2432
2018-03-20,2249
2018-03-21,2337
2018-03-22,2231
2018-03-23,1959
2018-03-24,1723
2018-03-25,1760
2018-03-26,2494
2018-03-27,2631
2018-03-28,3006
2018-03-29,2838
2018-03-30,2279
2018-03-31,1869
2018-04-01,1830
2018-04-02,2908
2018-04-03,3104
2018-04-04,2904
2018-04-05,2267
2018-04-06,3322
2018-04-07,2336
2018-04-08,1765
2018-04-09,2250
2018-04-10,2136
2018-04-11,2567
2018-04-12,2125
2018-04-13,1999
2018-04-14,1930
2018-04-15,1723
2018-04-16,2503
2018-04-17,2314
2018-04-18,2503
