,Date,Calories,Steps,Distance,Minutessedentary,Minuteslightlyactive,Minutesfairlyactive,Minutesveryactive,Minutes Asleep
0,2018-01-01,1502,80,0.03325578619584,1432,8,0,0,
1,2018-01-02,1911,4995,2.0764050437468,744,158,9,3,2018-01-02
2,2018-01-03,1547,540,0.22447655682192,1416,24,0,0,
3,2018-01-04,1641,2306,0.95859555161032,1387,23,28,2,
4,2018-01-05,1648,2516,1.0458919903744,1394,46,0,0,
5,2018-01-06,1488,0,0.0,1440,0,0,0,
6,2018-01-07,1489,0,0.0,1440,0,0,0,
7,2018-01-08,1490,0,0.0,1440,0,0,0,
8,2018-01-09,1490,0,0.0,1440,0,0,0,
9,2018-01-10,1490,0,0.0,1440,0,0,0,
10,2018-01-11,1491,0,0.0,1440,0,0,0,
11,2018-01-12,1491,0,0.0,1440,0,0,0,
12,2018-01-13,1491,0,0.0,1440,0,0,0,
13,2018-01-14,1492,0,0.0,1440,0,0,0,
14,2018-01-15,1488,0,0.0,1440,0,0,0,
15,2018-01-16,1487,0,0.0,1440,0,0,0,
16,2018-01-17,1486,0,0.0,1440,0,0,0,
17,2018-01-18,1486,0,0.0,1440,0,0,0,
18,2018-01-19,1485,0,0.0,1440,0,0,0,
19,2018-01-20,1485,0,0.0,1440,0,0,0,
20,2018-01-21,1485,0,0.0,1440,0,0,0,
21,2018-01-22,1485,0,0.0,1440,0,0,0,
22,2018-01-23,1485,0,0.0,1440,0,0,0,
23,2018-01-24,1485,0,0.0,1440,0,0,0,
24,2018-01-25,1485,0,0.0,1440,0,0,0,
25,2018-01-26,1485,0,0.0,1440,0,0,0,
26,2018-01-27,1485,0,0.0,1440,0,0,0,
27,2018-01-28,1485,2516,1.0458919903744,1440,0,0,0,
28,2018-01-29,1485,0,0.0,1440,0,0,0,
29,2018-01-30,2041,8022,3.33471898981832,796,95,14,41,2018-01-30
30,2018-01-31,2354,11985,4.98212936260832,668,205,20,40,2018-01-31
31,2018-02-01,1812,3692,1.53474956196848,830,103,13,6,2018-02-01
32,2018-02-02,2119,8301,3.4506979228051198,572,170,16,26,2018-02-02
33,2018-02-03,1981,5208,2.1649504386068,913,187,9,3,2018-02-03
34,2018-02-04,1856,3640,1.51313827191072,629,167,0,0,2018-02-04
35,2018-02-05,2088,7956,3.30728545169152,915,146,19,25,2018-02-05
36,2018-02-06,2344,12715,5.30283146222336,842,125,15,70,2018-02-06
