Date,Minutesfairlyactive
2018-01-01,0
2018-01-02,9
2018-01-03,0
2018-01-04,28
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,14
2018-01-31,20
2018-02-01,13
2018-02-02,16
2018-02-03,9
2018-02-04,0
2018-02-05,19
2018-02-06,15
2018-02-07,32
2018-02-08,18
2018-02-09,18
2018-02-10,3
2018-02-11,6
2018-02-12,35
2018-02-13,8
2018-02-14,44
2018-02-15,20
2018-02-16,17
2018-02-17,17
2018-02-18,11
2018-02-19,21
2018-02-20,11
2018-02-21,26
2018-02-22,12
2018-02-23,10
2018-02-24,0
2018-02-25,0
2018-02-26,24
2018-02-27,5
2018-02-28,32
2018-03-01,17
2018-03-02,24
2018-03-03,5
2018-03-04,43
2018-03-05,5
2018-03-06,20
2018-03-07,0
2018-03-08,2
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,31
2018-03-13,15
2018-03-14,34
2018-03-15,19
2018-03-16,19
2018-03-17,0
2018-03-18,7
2018-03-19,18
2018-03-20,13
2018-03-21,24
2018-03-22,9
2018-03-23,7
2018-03-24,0
2018-03-25,0
2018-03-26,17
2018-03-27,19
2018-03-28,48
2018-03-29,25
2018-03-30,11
2018-03-31,6
2018-04-01,0
2018-04-02,16
2018-04-03,40
2018-04-04,52
2018-04-05,12
2018-04-06,23
2018-04-07,11
2018-04-08,0
2018-04-09,16
2018-04-10,15
2018-04-11,41
2018-04-12,3
2018-04-13,9
2018-04-14,7
2018-04-15,0
2018-04-16,14
2018-04-17,19
2018-04-18,46
2018-04-19,23
2018-04-20,8
2018-04-21,0
2018-04-22,0
2018-04-23,22
2018-04-24,15
2018-04-25,13
2018-04-26,28
2018-04-27,10
2018-04-28,9
2018-04-29,25
2018-04-30,18
2018-05-01,34
2018-05-02,34
2018-05-03,27
2018-05-04,23
2018-05-05,29
2018-05-06,4
2018-05-07,3
2018-05-08,0
2018-05-09,0
2018-05-10,0
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-02,0
2018-06-03,7
2018-06-04,7
2018-06-05,0
2018-06-06,15
2018-06-07,0
2018-06-08,0
2018-06-09,13
2018-06-10,0
2018-06-11,10
2018-06-12,0
2018-06-13,16
2018-06-14,0
2018-06-15,0
2018-06-16,9
2018-06-17,20
2018-06-18,13
2018-06-19,13
2018-06-20,8
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-24,0
2018-06-25,0
2018-06-26,7
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,0
2018-07-02,0
2018-07-03,13
2018-07-04,0
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,4
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,16
2018-07-14,11
2018-07-15,0
2018-07-16,0
2018-07-17,7
2018-07-18,0
2018-07-19,0
2018-07-20,0
2018-07-21,0
2018-07-22,0
2018-07-23,0
2018-07-24,0
2018-07-25,0
2018-07-26,6
2018-07-27,0
2018-07-28,0
2018-07-29,0
2018-07-30,2
2018-07-31,23
2018-08-01,10
2018-08-02,0
2018-08-03,0
2018-08-04,0
2018-08-05,0
2018-08-06,7
2018-08-07,0
2018-08-08,14
2018-08-09,0
2018-08-10,31
2018-08-11,37
2018-08-12,0
2018-08-13,10
2018-08-14,0
2018-08-15,0
2018-08-16,10
2018-08-17,18
2018-08-18,0
2018-08-19,0
2018-08-20,0
2018-08-21,7
2018-08-22,26
2018-08-23,0
2018-08-24,15
2018-08-25,0
2018-08-26,27
2018-08-27,0
2018-08-28,23
2018-08-29,24
2018-08-30,17
2018-08-31,5
2018-09-01,0
2018-09-02,23
2018-09-03,12
2018-09-04,9
2018-09-05,8
2018-09-06,18
2018-09-07,23
2018-09-08,12
2018-09-09,0
2018-09-10,22
2018-09-11,41
2018-09-12,8
2018-09-13,34
2018-09-14,23
2018-09-15,0
2018-09-16,34
2018-09-17,21
2018-09-18,23
2018-09-19,35
2018-09-20,25
2018-09-21,0
2018-09-22,0
2018-09-23,0
2018-09-24,38
2018-09-25,23
2018-09-26,16
2018-09-27,21
2018-09-28,0
2018-09-29,0
2018-09-30,0
2018-10-01,23
2018-10-02,24
2018-10-03,16
2018-10-04,1
2018-10-05,0
2018-10-06,0
2018-10-07,0
2018-10-08,0
2018-10-09,15
2018-10-10,10
2018-10-11,12
2018-10-12,18
2018-10-13,3
2018-10-14,3
2018-10-15,18
2018-10-16,8
2018-10-17,11
2018-10-18,18
2018-10-19,14
2018-10-20,1
2018-10-21,0
2018-10-22,29
2018-10-23,9
2018-10-24,18
2018-10-25,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,21
2018-10-30,8
2018-10-31,11
