Date,Minutesveryactive
2018-01-01,0
2018-01-02,3
2018-01-03,0
2018-01-04,2
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,41
2018-01-31,40
2018-02-01,6
2018-02-02,26
2018-02-03,3
2018-02-04,0
2018-02-05,25
2018-02-06,70
2018-02-07,44
2018-02-08,29
2018-02-09,28
2018-02-10,8
2018-02-11,0
2018-02-12,61
2018-02-13,20
2018-02-14,98
2018-02-15,46
2018-02-16,18
2018-02-17,13
2018-02-18,22
2018-02-19,47
2018-02-20,36
2018-02-21,64
2018-02-22,18
2018-02-23,30
2018-02-24,0
2018-02-25,0
2018-02-26,69
2018-02-27,0
2018-02-28,88
2018-03-01,37
2018-03-02,49
2018-03-03,8
2018-03-04,33
2018-03-05,0
2018-03-06,34
2018-03-07,0
2018-03-08,7
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,36
2018-03-13,47
2018-03-14,51
2018-03-15,45
2018-03-16,48
2018-03-17,0
2018-03-18,2
2018-03-19,53
2018-03-20,51
2018-03-21,35
2018-03-22,55
2018-03-23,20
2018-03-24,0
2018-03-25,0
2018-03-26,49
2018-03-27,87
2018-03-28,145
2018-03-29,98
2018-03-30,10
2018-03-31,5
2018-04-01,0
2018-04-02,101
2018-04-03,134
2018-04-04,102
2018-04-05,16
2018-04-06,162
2018-04-07,32
2018-04-08,0
2018-04-09,44
2018-04-10,37
2018-04-11,57
2018-04-12,7
2018-04-13,33
2018-04-14,5
2018-04-15,0
2018-04-16,55
2018-04-17,29
2018-04-18,75
2018-04-19,55
2018-04-20,27
2018-04-21,0
2018-04-22,0
2018-04-23,52
2018-04-24,20
2018-04-25,37
2018-04-26,33
2018-04-27,12
2018-04-28,0
2018-04-29,14
2018-04-30,30
2018-05-01,25
2018-05-02,38
2018-05-03,24
2018-05-04,23
2018-05-05,35
2018-05-06,6
2018-05-07,10
2018-05-08,0
2018-05-09,0
2018-05-10,0
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-02,0
2018-06-03,1
2018-06-04,4
2018-06-05,0
2018-06-06,10
2018-06-07,0
2018-06-08,0
2018-06-09,11
2018-06-10,0
2018-06-11,1
2018-06-12,0
2018-06-13,6
2018-06-14,0
2018-06-15,0
2018-06-16,13
2018-06-17,0
2018-06-18,29
2018-06-19,11
2018-06-20,30
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-24,0
2018-06-25,0
2018-06-26,3
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,0
2018-07-02,0
2018-07-03,0
2018-07-04,0
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,24
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,33
2018-07-14,3
2018-07-15,0
2018-07-16,0
2018-07-17,2
2018-07-18,0
2018-07-19,0
2018-07-20,0
2018-07-21,0
2018-07-22,0
2018-07-23,0
2018-07-24,0
2018-07-25,0
2018-07-26,0
2018-07-27,0
2018-07-28,0
2018-07-29,0
2018-07-30,27
2018-07-31,28
2018-08-01,27
2018-08-02,0
2018-08-03,0
2018-08-04,0
2018-08-05,0
2018-08-06,0
2018-08-07,0
2018-08-08,2
2018-08-09,0
2018-08-10,16
2018-08-11,6
2018-08-12,0
2018-08-13,1
2018-08-14,0
2018-08-15,0
2018-08-16,2
2018-08-17,6
2018-08-18,0
2018-08-19,0
2018-08-20,0
2018-08-21,0
2018-08-22,1
2018-08-23,0
2018-08-24,31
2018-08-25,0
2018-08-26,8
2018-08-27,0
2018-08-28,101
2018-08-29,89
2018-08-30,35
2018-08-31,17
2018-09-01,0
2018-09-02,3
2018-09-03,48
2018-09-04,47
2018-09-05,46
2018-09-06,66
2018-09-07,40
2018-09-08,13
2018-09-09,0
2018-09-10,93
2018-09-11,101
2018-09-12,41
2018-09-13,108
2018-09-14,46
2018-09-15,0
2018-09-16,7
2018-09-17,75
2018-09-18,82
2018-09-19,61
2018-09-20,46
2018-09-21,0
2018-09-22,0
2018-09-23,0
2018-09-24,85
2018-09-25,73
2018-09-26,56
2018-09-27,54
2018-09-28,0
2018-09-29,0
2018-09-30,0
2018-10-01,41
2018-10-02,78
2018-10-03,49
2018-10-04,10
2018-10-05,0
2018-10-06,0
2018-10-07,0
2018-10-08,0
2018-10-09,44
2018-10-10,61
2018-10-11,45
2018-10-12,66
2018-10-13,28
2018-10-14,18
2018-10-15,57
2018-10-16,54
2018-10-17,39
2018-10-18,41
2018-10-19,20
2018-10-20,14
2018-10-21,0
2018-10-22,68
2018-10-23,50
2018-10-24,11
2018-10-25,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,59
2018-10-30,62
2018-10-31,50
