Date,Steps
2018-01-01,80
2018-01-02,4995
2018-01-03,540
2018-01-04,2306
2018-01-05,2516
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,2516
2018-01-29,0
2018-01-30,8022
2018-01-31,11985
2018-02-01,3692
2018-02-02,8301
2018-02-03,5208
2018-02-04,3640
2018-02-05,7956
2018-02-06,12715
2018-02-07,11220
2018-02-08,7278
2018-02-09,8234
2018-02-10,7457
2018-02-11,4331
2018-02-12,12563
2018-02-13,7094
2018-02-14,18468
2018-02-15,8533
2018-02-16,7879
2018-02-17,6130
2018-02-18,5918
2018-02-19,12728
2018-02-20,10042
2018-02-21,13158
2018-02-22,6685
2018-02-23,9479
2018-02-24,3345
2018-02-25,3526
2018-02-26,16986
2018-02-27,2478
2018-02-28,15653
2018-03-01,11358
2018-03-02,11508
2018-03-03,7045
2018-03-04,9405
2018-03-05,6051
2018-03-06,6862
2018-03-07,4245
2018-03-08,4624
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,11893
2018-03-13,10210
2018-03-14,13781
2018-03-15,9351
2018-03-16,8871
2018-03-17,2267
2018-03-18,4231
2018-03-19,13332
2018-03-20,10413
2018-03-21,11389
2018-03-22,9780
2018-03-23,5931
2018-03-24,1638
2018-03-25,2401
2018-03-26,14059
2018-03-27,16267
2018-03-28,22675
2018-03-29,18988
2018-03-30,10158
2018-03-31,3727
2018-04-01,3521
2018-04-02,20499
2018-04-03,23061
2018-04-04,21752
2018-04-05,10831
2018-04-06,26594
2018-04-07,10644
2018-04-08,2109
2018-04-09,10709
2018-04-10,8347
2018-04-11,15457
2018-04-12,8416
2018-04-13,6701
2018-04-14,4865
2018-04-15,1969
2018-04-16,13378
2018-04-17,10806
2018-04-18,15019
2018-04-19,14481
2018-04-20,7711
2018-04-21,3459
2018-04-22,6
2018-04-23,11936
2018-04-24,8121
2018-04-25,10092
2018-04-26,13287
2018-04-27,5004
2018-04-28,4478
2018-04-29,5374
2018-04-30,7380
2018-05-01,8185
2018-05-02,9787
2018-05-03,8105
2018-05-04,7344
2018-05-05,10023
2018-05-06,4508
2018-05-07,6025
2018-05-08,9547
2018-05-09,0
2018-05-10,0
2018-05-11,6817
2018-05-12,236
2018-05-13,0
2018-05-14,389
2018-05-15,0
2018-05-16,0
2018-05-17,2680
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,2688
2018-05-31,380
2018-06-01,3002
2018-06-02,3961
2018-06-03,4199
2018-06-04,8032
2018-06-05,3276
2018-06-06,8497
2018-06-07,13
2018-06-08,0
2018-06-09,5188
2018-06-10,2454
2018-06-11,4873
2018-06-12,4337
2018-06-13,5914
2018-06-14,4694
2018-06-15,5782
2018-06-16,6069
2018-06-17,3625
2018-06-18,11840
2018-06-19,4009
2018-06-20,9139
2018-06-21,6900
2018-06-22,4440
2018-06-23,6561
2018-06-24,2704
2018-06-25,5551
2018-06-26,8697
2018-06-27,6556
2018-06-28,6693
2018-06-29,7300
2018-06-30,1285
2018-07-01,1853
2018-07-02,4823
2018-07-03,9447
2018-07-04,7839
2018-07-05,9014
